Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
0.7,1329.2113,7377,0.1802,0.1760,0.0040,0.7069,0.1090, 912    1    1,   4    4    4,"void spatial_cell::add_blocks_from_buffer_kernel<float>(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, unsigned int, const unsigned int *, const T1 *, unsigned int)"
0.6,1246.6131,44308,0.0281,0.0139,0.0106,0.5481,0.0262,  52    1    1,  32    1    1,"evaluate_column_extents_kernel(unsigned int, const vmesh::VelocityMesh *, ColumnOffsets *, Column *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, unsigned int *, unsigned int *, float, float, float, float, int, int, float, float, unsigned int *)"
0.6,1187.0174,50304,0.0236,0.0088,0.0061,0.6665,0.0300,  36    1    1,  16    1    1,"reorder_blocks_by_dimension_kernel(vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, ColumnOffsets *)"
0.6,1116.0593,70186,0.0159,0.0030,0.0019,3.0351,0.0377,   1    1    1,   2    1    1,"void split::tools::split_prescan<unsigned int>(T1 *, T1 *, T1 *, int, unsigned long)"
0.6,1114.2899,5292,0.2106,0.2010,0.0687,3.8214,0.0884,  60    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.5,986.4668,44308,0.0223,0.0077,0.0058,0.2757,0.0294,  52    1    1,  16    1    1,"reorder_blocks_by_dimension_kernel(vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, ColumnOffsets *)"
0.5,909.5017,5337,0.1704,0.1568,0.0691,0.7178,0.0644,  57    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.4,834.0840,47560,0.0175,0.0045,0.0033,0.4604,0.0220,   9    1    1,  32    1    1,"order_GIDs_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int, unsigned int *, unsigned int *, unsigned int, ColumnOffsets *)"
0.4,805.9638,30476,0.0264,0.0080,0.0061,0.2967,0.0314,  58    1    1,  64    1    1,"update_velocity_blocks_kernel(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, unsigned int, unsigned int, unsigned int, float *)"
0.4,790.6378,45120,0.0175,0.0045,0.0032,0.5152,0.0222,   8    1    1,  32    1    1,"order_GIDs_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int, unsigned int *, unsigned int *, unsigned int, ColumnOffsets *)"
0.4,781.5445,44616,0.0175,0.0045,0.0035,0.5573,0.0220,  11    1    1,  32    1    1,"order_GIDs_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int, unsigned int *, unsigned int *, unsigned int, ColumnOffsets *)"
0.4,717.5965,22,32.6180,31.8288,30.7787,49.3191,3.7644,3960    1    1,   4    4    4,"first_moments_kernel(vmesh::VelocityBlockContainer **, double *, unsigned int)"
