Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),GridXYZ,BlockXYZ,Name
0.4,125.8739,4224,0.0298,0.0139,0.0113,0.9375,0.0412,  36    1    1,  32    1    1,"evaluate_column_extents_kernel(unsigned int, const vmesh::VelocityMesh *, ColumnOffsets *, Column *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, unsigned int *, unsigned int *, float, float, float, float, int, int, float, float, unsigned int *)"
0.4,112.2224,1568,0.0716,0.0705,0.0577,0.0927,0.0041, 456    1    1,  32    1    1,"void arch::reduction_kernel<(unsigned int)32, (arch::reduce_op)2, (unsigned int)4, (unsigned int)0, DRO::VariablePrecipitationDiffFlux::reduceData(const spatial_cell::SpatialCell *, char *)::[lambda(unsigned int, unsigned int, unsigned int, unsigned int, double *) (instance 1)], double>(T5, const T6 *, T6 *, const unsigned int *, unsigned int, unsigned int, T6 *)"
0.3,107.5238,590,0.1822,0.1617,0.0872,0.6214,0.0738,  91    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.3,98.4915,4544,0.0217,0.0078,0.0058,0.2605,0.0306,  52    1    1,  16    1    1,"reorder_blocks_by_dimension_kernel(vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, ColumnOffsets *)"
0.3,95.0907,572,0.1662,0.1487,0.0767,0.5607,0.0685,  56    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.3,93.5806,4224,0.0222,0.0084,0.0063,0.3490,0.0299,  36    1    1,  16    1    1,"reorder_blocks_by_dimension_kernel(vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, ColumnOffsets *)"
0.3,91.9772,1529,0.0602,0.0476,0.0042,0.5667,0.0616,  29    1    1,1024    1    1,"void Hashinator::Hashers::insert_index_kernel<unsigned int, unsigned int, (unsigned int)4294967295, Hashinator::HashFunctions::Fibonacci<unsigned int>, (int)32, (int)1>(T1 *, Hashinator::hash_pair<T1, T2> *, Hashinator::Info *, unsigned long)"
0.3,89.9110,1658,0.0542,0.0442,0.0020,0.4709,0.0429,   1    1    1, 128    1    1,"void split::tools::block_compact<Hashinator::hash_pair<unsigned int, unsigned int>, void Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>>::device_rehash<(bool)1>(int, CUstream_st *)::[lambda(Hashinator::hash_pair<unsigned int, unsigned int> &) (instance 1)], (unsigned long)1024>(T1 *, T1 *, unsigned long, T2, unsigned int *)"
0.3,85.4164,528,0.1618,0.1470,0.0772,0.4433,0.0695,  59    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.3,84.4714,484,0.1745,0.1572,0.0887,0.4990,0.0683,  82    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.3,83.8868,1509,0.0556,0.0587,0.0069,0.2370,0.0363, 912    1    1,  64    1    1,"update_velocity_block_content_lists_kernel(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, double)"
0.2,78.0040,348,0.2241,0.2036,0.1052,0.4777,0.0757, 112    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.2,77.5467,4224,0.0184,0.0044,0.0032,0.1622,0.0237,   9    1    1,  32    1    1,"order_GIDs_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int, unsigned int *, unsigned int *, unsigned int, ColumnOffsets *)"
0.2,74.7414,2784,0.0268,0.0079,0.0062,0.3351,0.0336,  58    1    1,  64    1    1,"update_velocity_blocks_kernel(vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, split::SplitVector<Hashinator::hash_pair<unsigned int, unsigned int>, split::split_unified_allocator<Hashinator::hash_pair<unsigned int, unsigned int>>> *, unsigned int, unsigned int, unsigned int, float *)"
0.2,66.3945,3872,0.0171,0.0043,0.0035,0.1733,0.0221,  11    1    1,  32    1    1,"order_GIDs_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int, unsigned int *, unsigned int *, unsigned int, ColumnOffsets *)"
0.2,66.3690,4224,0.0157,0.0043,0.0032,0.3868,0.0226,   8    1    1,  32    1    1,"order_GIDs_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int, unsigned int *, unsigned int *, unsigned int, ColumnOffsets *)"
0.2,64.3489,2016,0.0319,0.0140,0.0113,0.9260,0.0554,  44    1    1,  32    1    1,"evaluate_column_extents_kernel(unsigned int, const vmesh::VelocityMesh *, ColumnOffsets *, Column *, split::SplitVector<unsigned int, split::split_unified_allocator<unsigned int>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, Hashinator::Hashmap<unsigned int, unsigned int, (unsigned int)4294967295, (unsigned int)4294967294, Hashinator::HashFunctions::Fibonacci<unsigned int>, Hashinator::Hashers::Hasher<unsigned int, unsigned int, Hashinator::HashFunctions::Fibonacci<unsigned int>, (unsigned int)4294967295, (unsigned int)4294967294, (int)32, (int)1>, split::split_unified_allocator<Hashinator::Info>> *, unsigned int *, unsigned int *, float, float, float, float, int, int, float, float, unsigned int *)"
0.2,62.2820,4224,0.0147,0.0032,0.0024,0.2296,0.0250,   9    1    1,  32    1    1,"blocksID_mapped_dim1_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int)"
0.2,60.7394,352,0.1726,0.1562,0.0891,0.5027,0.0689,  79    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.2,57.7031,327,0.1765,0.1610,0.0826,0.3999,0.0647,  94    1    1,  16    1    1,"acceleration_kernel(const vmesh::VelocityMesh *, vmesh::VelocityBlockContainer *, VecSimple<float> *, unsigned int *, unsigned int *, Column *, unsigned int, float, float, float, float, float, float, float, float, unsigned long)"
0.2,56.1041,4224,0.0133,0.0035,0.0027,0.4869,0.0244,   8    1    1,  32    1    1,"blocksID_mapped_dim0_kernel(const vmesh::VelocityMesh *, unsigned int *, unsigned int *, unsigned int)"
0.2,54.9541,12,4.5795,5.4161,0.3313,5.5938,1.9858, 728    1    1,   4    4    4,"first_moments_kernel(vmesh::VelocityBlockContainer **, double *, unsigned int)"
